成交統計,成交金額(元),成交股數(股),成交筆數
1.一般股票,"344,714,302,604","2,665,194,780","1,962,685"
2.台灣存託憑證,"702,318,257","73,842,825","15,211"
3.受益憑證,0,0,0
4.ETF,"23,111,668,926","1,042,243,781","289,806"
5.受益證券,"37,341,062","2,481,577",384
6.變更交易股票,"7,559,795","1,033,620",963
7.認購(售)權證,"2,317,656,560","2,281,542,000","72,984"
8.轉換公司債,0,0,0
9.附認股權特別股,0,0,0
10.附認股權公司債,0,0,0
11.認股權憑證,0,0,0
12.公司債,0,0,0
13.ETN,"4,192,640","468,000",117
14.創新板股票,"384,229,281","2,978,940","2,080"
15.創新板-變更交易方法股票,0,0,0
證券合計(1+6+14+15),"345,106,091,680","2,669,207,340","1,965,728"
總計(1~15),"371,279,269,125","6,069,785,523","2,344,230"
